Domaine,Zone,Élément,Produit,Année,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Orge et produits","2017","0.44"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Orge et produits","2017","0.13"
"Bilans Alimentaires (2010-)","Afghanistan","Production","Maïs et produits","2017","174"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Maïs et produits","2017","29"
"Bilans Alimentaires (2010-)","Afghanistan","Variation de stock","Maïs et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Maïs et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Maïs et produits","2017","203"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Maïs et produits","2017","111"
"Bilans Alimentaires (2010-)","Afghanistan","Semences","Maïs et produits","2017","21"
"Bilans Alimentaires (2010-)","Afghanistan","Pertes","Maïs et produits","2017","26"
"Bilans Alimentaires (2010-)","Afghanistan","Autres utilisations (non alimentaire)","Maïs et produits","2017","7"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Maïs et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Maïs et produits","2017","38"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Maïs et produits","2017","1.06"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Maïs et produits","2017","9"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Maïs et produits","2017","0.24"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Maïs et produits","2017","0.13"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Production","Millet et produits","2017","6"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Variation de stock","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Millet et produits","2017","6"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Semences","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Pertes","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Millet et produits","2017","6"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Millet et produits","2017","0.16"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Millet et produits","2017","1"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Millet et produits","2017","0.03"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Millet et produits","2017","0.01"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Exportations - Quantité","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Importations - Quantité","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité intérieure","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Résidus","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Blé et produits","2017","1594"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Blé et produits","2017","1856"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Blé et produits","2017","-63"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Blé et produits","2017","263"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Blé et produits","2017","3250"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Blé et produits","2017","3"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Blé et produits","2017","18"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Blé et produits","2017","71"
"Bilans Alimentaires (2010-)","Afrique du Sud","Traitement","Blé et produits","2017","73"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Blé et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Blé et produits","2017","3086"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Blé et produits","2017","54.12"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Blé et produits","2017","443"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Blé et produits","2017","13.91"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Blé et produits","2017","1.87"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Riz et produits","2017","3"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Riz et produits","2017","1621"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Riz et produits","2017","-75"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Riz et produits","2017","170"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Riz et produits","2017","1530"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Traitement","Riz et produits","2017","228"
"Bilans Alimentaires (2010-)","Afrique du Sud","Autres utilisations (non alimentaire)","Riz et produits","2017","1"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Riz et produits","2017","1300"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Riz et produits","2017","22.81"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Riz et produits","2017","148"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Riz et produits","2017","2.89"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Riz et produits","2017","0.2"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Orge et produits","2017","307"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Orge et produits","2017","142"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Orge et produits","2017","34"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Orge et produits","2017","42"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Orge et produits","2017","373"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Orge et produits","2017","7"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Orge et produits","2017","8"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Orge et produits","2017","14"
"Bilans Alimentaires (2010-)","Afrique du Sud","Traitement","Orge et produits","2017","344"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Maïs et produits","2017","16820"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Maïs et produits","2017","572"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Maïs et produits","2017","3200"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Maïs et produits","2017","2584"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Maïs et produits","2017","11608"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Maïs et produits","2017","5276"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Maïs et produits","2017","30"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Maïs et produits","2017","773"
"Bilans Alimentaires (2010-)","Afrique du Sud","Traitement","Maïs et produits","2017","49"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Maïs et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Maïs et produits","2017","5480"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Maïs et produits","2017","96.12"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Maïs et produits","2017","824"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Maïs et produits","2017","21.04"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Maïs et produits","2017","7.39"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Seigle et produits","2017","2"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Seigle et produits","2017","2"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Seigle et produits","2017","2"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Seigle et produits","2017","0.03"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Seigle et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Avoine","2017","23"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Avoine","2017","84"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Avoine","2017","-4"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Avoine","2017","4"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Avoine","2017","107"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Avoine","2017","13"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Avoine","2017","5"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Avoine","2017","1"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Avoine","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Avoine","2017","87"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Avoine","2017","1.53"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Avoine","2017","10"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Avoine","2017","0.32"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Avoine","2017","0.19"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Millet et produits","2017","6"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Millet et produits","2017","9"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Millet et produits","2017","1"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Millet et produits","2017","14"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Millet et produits","2017","9"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Millet et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Millet et produits","2017","5"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Millet et produits","2017","0.09"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Millet et produits","2017","1"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Millet et produits","2017","0.02"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Millet et produits","2017","0.01"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Sorgho et produits","2017","152"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Sorgho et produits","2017","59"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Sorgho et produits","2017","56"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Sorgho et produits","2017","16"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Sorgho et produits","2017","139"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Sorgho et produits","2017","9"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Sorgho et produits","2017","7"
"Bilans Alimentaires (2010-)","Afrique du Sud","Traitement","Sorgho et produits","2017","102"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Sorgho et produits","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Sorgho et produits","2017","21"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Sorgho et produits","2017","0.38"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Sorgho et produits","2017","3"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Sorgho et produits","2017","0.09"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Sorgho et produits","2017","0.03"
"Bilans Alimentaires (2010-)","Afrique du Sud","Production","Céréales, Autres","2017","59"
"Bilans Alimentaires (2010-)","Afrique du Sud","Importations - Quantité","Céréales, Autres","2017","6"
"Bilans Alimentaires (2010-)","Afrique du Sud","Variation de stock","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Exportations - Quantité","Céréales, Autres","2017","15"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité intérieure","Céréales, Autres","2017","51"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2017","8"
"Bilans Alimentaires (2010-)","Afrique du Sud","Semences","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Pertes","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Résidus","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2017","43"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire en quantité (kg/personne/an)","Céréales, Autres","2017","0.75"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Céréales, Autres","2017","7"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Céréales, Autres","2017","0.15"
"Bilans Alimentaires (2010-)","Afrique du Sud","Disponibilité de matière grasse en quantité (g/personne/jour)","Céréales, Autres","2017","0.02"
"Bilans Alimentaires (2010-)","Albanie","Production","Blé et produits","2017","275"
"Bilans Alimentaires (2010-)","Albanie","Importations - Quantité","Blé et produits","2017","293"
"Bilans Alimentaires (2010-)","Albanie","Variation de stock","Blé et produits","2017","3"
"Bilans Alimentaires (2010-)","Albanie","Exportations - Quantité","Blé et produits","2017","1"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Blé et produits","2017","564"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Blé et produits","2017","21"
"Bilans Alimentaires (2010-)","Albanie","Semences","Blé et produits","2017","17"
"Bilans Alimentaires (2010-)","Albanie","Pertes","Blé et produits","2017","31"
"Bilans Alimentaires (2010-)","Albanie","Traitement","Blé et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Autres utilisations (non alimentaire)","Blé et produits","2017","124"
"Bilans Alimentaires (2010-)","Albanie","Résidus","Blé et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Blé et produits","2017","371"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité alimentaire en quantité (kg/personne/an)","Blé et produits","2017","128.68"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité alimentaire (Kcal/personne/jour)","Blé et produits","2017","992"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Blé et produits","2017","31.41"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité de matière grasse en quantité (g/personne/jour)","Blé et produits","2017","6.02"
"Bilans Alimentaires (2010-)","Albanie","Production","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Importations - Quantité","Riz et produits","2017","33"
"Bilans Alimentaires (2010-)","Albanie","Variation de stock","Riz et produits","2017","-3"
"Bilans Alimentaires (2010-)","Albanie","Exportations - Quantité","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Riz et produits","2017","36"
"Bilans Alimentaires (2010-)","Albanie","Pertes","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Autres utilisations (non alimentaire)","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Résidus","Riz et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Riz et produits","2017","36"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité alimentaire en quantité (kg/personne/an)","Riz et produits","2017","12.38"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité alimentaire (Kcal/personne/jour)","Riz et produits","2017","68"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Riz et produits","2017","1.32"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité de matière grasse en quantité (g/personne/jour)","Riz et produits","2017","0.11"
"Bilans Alimentaires (2010-)","Albanie","Production","Orge et produits","2017","9"
"Bilans Alimentaires (2010-)","Albanie","Importations - Quantité","Orge et produits","2017","11"
"Bilans Alimentaires (2010-)","Albanie","Variation de stock","Orge et produits","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Disponibilité intérieure","Orge et produits","2017","20"
